identifier,05_CP_PA_-Fe/+Fe__MEAN,05_CP_PA_-Fe/+Fe__STD,01_WC_PH_-Fe/+Fe__MEAN,01_WC_PH_-Fe/+Fe__STD,06_PA/PH__MEAN,06_PA/PH__STD,02_WC_PA_-Fe/+Fe__MEAN,02_WC_PA_-Fe/+Fe__STD,03_WC_PA/PH__MEAN,03_WC_PA/PH__STD,04_CP_PH_-Fe/+Fe__MEAN,04_CP_PH_-Fe/+Fe__STD
"Cre03.g198850.t1.1|PACid:19871362",-0.388312086203,0.114188997224,-0.0292979568363,0.108670170252,0.559396774253,0.0720369058921,-0.81691625405,0.304759036679,0.261693430357,0.0760974728,-0.3796465263,0.253548824876
"Cre07.g340200.t1.2|PACid:19859753",0.69147079928,0.223703261808,0.764504176309,0.639615957553,0.435426697011,0.453058387715,0.309158766686,0.18364126191,0.703026747424,0.0870579241345,0.459836120555,0.209032791541
"Cre02.g141100.t1.1|PACid:19869345",0.179847387478,0.167856051607,-0.790039686582,0.3357516972,-0.0503473078596,0.169679864828,-0.159983186655,0.116021024422,-0.648367031682,0.186790432627,0.887381147753,0.359651381432
"Cre08.g364800.t1.1|PACid:19858486",-0.314450153781,0.240028678721,-0.0106959641585,0.214866371433,0.130251383839,0.192044804139,-0.987996942089,0.478908004213,-0.242361636967,0.154301865279,0.550714704237,0.449412627771
"Cre16.g651550.t1.1|PACid:19861610__Cre16.g651650.t1.2|PACid:19861401",-0.404236152947,0.001,-0.52342628551,0.129354418405,-0.301200922099,0.49044629971,-0.391612452724,0.106247798649,-0.2123676305,0.001,-0.708411515613,0.116604567329
"Cre03.g156950.t1.1|PACid:19872237",-0.058269108894,0.001,0.118648037908,0.001,-0.641532837553,0.001,-0.185051720896,0.001,-0.158000731775,0.203808948079,0.503087168827,0.00946674577463
"Cre16.g687900.t1.1|PACid:19861461",-0.40869878474,0.395909726231,-1.36479948097,0.894252987076,0.173057308679,0.314252909666,-1.07285888027,0.723156081262,0.600628376149,0.269145514599,-0.839688254756,0.674590119381
"Cre09.g415850.t1.1|PACid:19862410",-0.173335353073,0.104695211767,-0.17429517892,0.501364527486,-0.463233968544,0.13295245686,-0.5596408958,0.0836712158048,-0.184295658833,0.265847306275,0.763721737175,0.136601842636
"Cre06.g272800.t1.1|PACid:19863065",-0.231218287046,0.142358839908,-0.931572514669,0.0780610513391,-1.13198742169,0.16078971271,-0.349571230828,0.244144768773,-0.592181603725,0.340038453455,0.894657026935,0.501600019409
"Cre17.g715500.t1.1|PACid:19867657",-0.439437485567,0.001,0.328326506766,0.163820273888,0.306614999682,0.405908368801,-0.780291047025,0.255494380374,0.48977180478,0.301747613165,-0.0666907540102,0.870057845668
"Cre14.g621650.t1.2|PACid:19860671",-1.18150097394,0.216591178275,-0.929440494549,0.374019648335,0.35339644379,0.168327491418,-1.69950860894,0.001,-0.892463373837,0.381465595676,-0.681498988451,0.16844118142
"Cre17.g738300.t1.1|PACid:19866974",0.128419040444,0.477885361775,-0.648407274898,0.0724708702698,-1.08160078007,0.118158945252,-1.20059642666,0.97316175766,-0.64874657831,0.558319426223,1.07307579837,0.729604990805
"Cre02.g098250.t1.1|PACid:19868620",-0.958861389275,0.001,-0.124818963279,0.113974601997,-0.406805354281,0.268136961688,-0.671777836439,0.001,0.071194501709,0.585732871158,0.419040910275,0.351978212297
"Cre06.g259150.t1.1|PACid:19863335",0.532527927387,0.111367052418,-0.582986581771,0.0632088133307,-0.712216040389,0.121877377004,-0.43289863429,0.001,-0.510141662702,0.227036045103,0.819175642201,0.285662474516
"Cre11.g474800.t1.1|PACid:19859974",-0.322673300704,0.440940317484,0.727143478638,0.001,0.404113298524,0.143059070906,-0.2368324715,0.0454260026425,-0.207725047391,0.290132983747,0.362766824468,1.08248309337
